sample,strategy,strategy_price_type,return_basis,round_trip_ticks,nobs,trade_count,trade_rate,avg_daily,avg_ann,avg_ann_pct,vol_ann,vol_ann_pct,sharpe,success_rate,max_drawdown,avg_trade_return,avg_trade_return_bp,t_stat_mean,p_value_mean,symbol
oos,timing_rONFH,executable_next_open,r_LH_executable,3,1224,1224,1.0,-0.0002099540629482,-0.0529084238629583,-5.290842386295837,0.0415004043676166,4.150040436761664,-1.2748893575659608,0.4607843137254901,-0.2350118561390358,-0.0002099540629482,-2.0995406294824748,-2.809719297550361,0.0050374712003986,ES.v.0
oos,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,3,1224,871,0.7116013071895425,-0.0001359034935848,-0.0342476803833937,-3.42476803833937,0.0345918805768833,3.45918805768833,-0.9900496825338946,0.3316993464052287,-0.1592475353409236,-0.0001359034935848,-1.3590349358489562,-2.1819632284483697,0.029302057194344,ES.v.0
oos,timing_rROD,executable_next_open,r_LH_executable,3,1224,1224,1.0,-0.0001501796866375,-0.0378452810326665,-3.784528103266651,0.0414754890752914,4.1475489075291465,-0.9124734120425934,0.4681372549019608,-0.208299943123324,-0.0001501796866375,-1.5017968663756551,-2.010993455316415,0.0445452574292901,ES.v.0
oos,always_long,executable_next_open,r_LH_executable,3,1224,1224,1.0,-0.0002208904238128,-0.0556643868008396,-5.566438680083964,0.0415041535311915,4.150415353119156,-1.3411762935727929,0.451797385620915,-0.2403659534085693,-0.0002208904238128,-2.2089042381285573,-2.9558085892748354,0.0031782812490117,ES.v.0
replication,timing_rONFH,paper_statistical,r_LH,0,2424,2424,1.0,0.0001508665798853,0.0380183781311121,3.8018378131112183,0.0511810971825523,5.118109718255239,0.7428206940446878,0.5173267326732673,-0.0771127966890301,0.0001508665798853,1.5086657988536585,2.303827889851485,0.0213165566987607,NQ.v.0
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,2424,1779,0.7339108910891089,0.0001686685101244,0.0425044645513537,4.250446455135378,0.0452282415669431,4.522824156694312,0.9397770746501868,0.3787128712871287,-0.0542857033498374,0.0001686685101244,1.6866851012441977,2.914680019256289,0.0035931849997825,NQ.v.0
replication,timing_rROD,paper_statistical,r_LH,0,2424,2424,1.0,0.0001798957091583,0.0453337187078916,4.533371870789161,0.0511574439490752,5.11574439490752,0.8861607462839456,0.5004125412541254,-0.0674107035850304,0.0001798957091583,1.7989570915830002,2.7483911777742422,0.0060332370543196,NQ.v.0
replication,always_long,paper_statistical,r_LH,0,2424,2424,1.0,-2.738424769452402e-05,-0.00690083041902,-0.6900830419020053,0.0512352781454398,5.1235278145439835,-0.134689039833665,0.5086633663366337,-0.1578098330936733,-2.738424769452402e-05,-0.2738424769452402,-0.4177325280701556,0.6761797004726455,NQ.v.0
replication,timing_rONFH,paper_statistical,r_LH,1,2424,2424,1.0,8.438481797839256e-05,0.0212649741305549,2.126497413055493,0.0511997067621636,5.119970676216363,0.4153339047298929,0.5074257425742574,-0.0818121939218903,8.438481797839256e-05,0.8438481797839257,1.2881410560972908,0.1978198636789037,NQ.v.0
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,1,2424,1779,0.7339108910891089,0.0001203333683195,0.0303240088165256,3.0324008816525683,0.0452299834803945,4.522998348039453,0.6704404132641344,0.3733498349834983,-0.0583678170128495,0.0001203333683195,1.2033336831954635,2.0793434202151437,0.0376907301373565,NQ.v.0
replication,timing_rROD,paper_statistical,r_LH,1,2424,2424,1.0,0.0001134139472513,0.0285803147073343,2.858031470733436,0.0511704032027591,5.11704032027591,0.5585321380815955,0.4925742574257425,-0.1001065770793929,0.0001134139472513,1.1341394725132683,1.7322644985619489,0.08335373598527,NQ.v.0
replication,always_long,paper_statistical,r_LH,1,2424,2424,1.0,-9.386600960149724e-05,-0.0236542344195773,-2.3654234419577307,0.0512340651416696,5.123406514166962,-0.4616895878585843,0.5033003300330033,-0.26458036954634,-9.386600960149724e-05,-0.9386600960149724,-1.4319113044239646,0.1522981864787747,NQ.v.0
replication,timing_rONFH,paper_statistical,r_LH,2,2424,2424,1.0,1.7903056071419346e-05,0.0045115701299976,0.4511570129997675,0.0512225236145398,5.122252361453987,0.0880778573884445,0.488036303630363,-0.1924429965264795,1.7903056071419346e-05,0.1790305607141934,0.2731698591014924,0.7847459283262497,NQ.v.0
